record_name,window_idx,rr_ms_mean,rr_ms_std,rr_ms_min,rr_ms_max,rr_ms_25%,rr_ms_50%,rr_ms_75%
infant5,0,368.8,12.519372742975225,344.0,396.0,360.0,368.0,380.0
infant5,1,352.0,7.793246683991918,340.0,368.0,344.0,348.0,359.0
infant5,2,348.24,3.992646301614497,340.0,356.0,344.0,348.0,352.0
infant5,3,352.16,3.518812415620721,344.0,360.0,352.0,352.0,356.0
infant5,4,357.36,18.43882328354043,348.0,448.0,352.0,352.0,356.0
infant5,5,354.88,19.141407194554823,340.0,448.0,348.0,352.0,355.0
infant5,6,358.48,16.9491917813451,340.0,396.0,348.0,348.0,379.0
infant5,7,367.84,13.902517757586214,340.0,396.0,364.0,368.0,379.0
infant5,8,361.2,7.461465632686053,348.0,376.0,356.0,360.0,368.0
infant5,9,375.84,24.564251443502037,348.0,444.0,356.0,364.0,396.0
infant5,10,393.04,15.975695826562834,364.0,444.0,380.0,396.0,400.0
infant5,11,376.88,17.224377599015572,356.0,416.0,361.0,372.0,391.0
infant5,12,359.84,8.550832397718807,348.0,408.0,356.0,360.0,360.0
infant5,13,360.32,13.51860396125371,348.0,404.0,352.0,356.0,359.0
infant5,14,368.88,13.408252104200455,352.0,404.0,356.0,368.0,376.0
infant5,15,368.64,13.40995670296926,356.0,448.0,360.0,368.0,372.0
infant5,16,366.4,16.101717489834712,356.0,448.0,360.0,364.0,364.0
infant5,17,369.36,10.860450623942915,360.0,432.0,364.0,368.0,372.0
infant5,18,370.72,4.810872041108386,364.0,380.0,368.0,368.0,376.0
infant5,19,374.08,6.167194314620361,364.0,388.0,369.0,374.0,376.0
infant5,20,374.96,6.2497673426084175,360.0,388.0,372.0,376.0,380.0
infant5,21,384.96,16.552896041084132,360.0,428.0,372.0,382.0,392.0
infant5,22,399.28,11.533518145662516,380.0,428.0,392.0,396.0,407.0
infant5,23,401.52,7.039944341152892,388.0,416.0,396.0,400.0,407.0
infant5,24,406.08,7.96891921589043,392.0,428.0,400.0,404.0,412.0
infant5,25,410.96,8.468332366010706,396.0,432.0,404.0,412.0,416.0
infant5,26,416.48,11.728632329753143,400.0,444.0,405.0,416.0,424.0
