rr_ms,beat_sample
336.0,407729
424.0,407835
420.0,407940
392.0,408038
408.0,408140
392.0,408238
400.0,408338
388.0,408435
388.0,408532
384.0,408628
384.0,408724
376.0,408818
376.0,408912
376.0,409006
380.0,409101
376.0,409195
372.0,409288
384.0,409384
388.0,409481
396.0,409580
392.0,409678
384.0,409774
384.0,409870
372.0,409963
380.0,410058
376.0,410152
372.0,410245
376.0,410339
368.0,410431
372.0,410524
376.0,410618
364.0,410709
360.0,410799
364.0,410890
364.0,410981
368.0,411073
360.0,411163
364.0,411254
344.0,411340
388.0,411437
360.0,411527
364.0,411618
360.0,411708
364.0,411799
360.0,411889
360.0,411979
360.0,412069
360.0,412159
360.0,412249
356.0,412338
356.0,412427
344.0,412513
376.0,412607
352.0,412695
340.0,412780
356.0,412869
352.0,412957
340.0,413042
360.0,413132
336.0,413216
356.0,413305
400.0,413405
304.0,413481
340.0,413566
364.0,413657
376.0,413751
312.0,413829
260.0,413894
436.0,414003
352.0,414091
344.0,414177
344.0,414263
348.0,414350
352.0,414438
344.0,414524
344.0,414610
344.0,414696
352.0,414784
288.0,414856
396.0,414955
348.0,415042
348.0,415129
348.0,415216
348.0,415303
352.0,415391
344.0,415477
348.0,415564
348.0,415651
352.0,415739
344.0,415825
348.0,415912
348.0,415999
352.0,416087
340.0,416172
348.0,416259
348.0,416346
352.0,416434
344.0,416520
348.0,416607
348.0,416694
348.0,416781
348.0,416868
352.0,416956
336.0,417040
348.0,417127
348.0,417214
344.0,417300
352.0,417388
340.0,417473
348.0,417560
340.0,417645
344.0,417731
344.0,417817
352.0,417905
340.0,417990
344.0,418076
344.0,418162
348.0,418249
340.0,418334
344.0,418420
340.0,418505
344.0,418591
344.0,418677
344.0,418763
344.0,418849
344.0,418935
348.0,419022
344.0,419108
336.0,419192
348.0,419279
348.0,419366
336.0,419450
348.0,419537
344.0,419623
336.0,419707
360.0,419797
340.0,419882
352.0,419970
356.0,420059
352.0,420147
352.0,420235
348.0,420322
352.0,420410
352.0,420498
344.0,420584
352.0,420672
348.0,420759
352.0,420847
352.0,420935
352.0,421023
344.0,421109
344.0,421195
352.0,421283
352.0,421371
352.0,421459
360.0,421549
344.0,421635
356.0,421724
356.0,421813
360.0,421903
356.0,421992
356.0,422081
360.0,422171
356.0,422260
352.0,422348
356.0,422437
356.0,422526
356.0,422615
352.0,422703
352.0,422791
356.0,422880
352.0,422968
356.0,423057
352.0,423145
348.0,423232
352.0,423320
352.0,423408
352.0,423496
356.0,423585
344.0,423671
352.0,423759
356.0,423848
352.0,423936
356.0,424025
348.0,424112
356.0,424201
352.0,424289
360.0,424379
344.0,424465
356.0,424554
352.0,424642
360.0,424732
352.0,424820
356.0,424909
348.0,424996
372.0,425089
336.0,425173
364.0,425264
364.0,425355
356.0,425444
352.0,425532
356.0,425621
352.0,425709
352.0,425797
356.0,425886
360.0,425976
352.0,426064
348.0,426151
352.0,426239
356.0,426328
352.0,426416
352.0,426504
352.0,426592
352.0,426680
348.0,426767
