sample_idx,symbol
912586,[
1480920,[
2056752,[
2187999,[
4202778,[
4560892,[
5212413,[
5616576,[
5754325,[
6395375,[
7773219,[
8341221,[
9339615,[
11621420,[
12310087,[
14115379,[
14732064,[
15398165,[
15956012,[
18227784,[
18940366,[
19085771,[
19755005,[
19993835,[
20095626,[
20393248,[
21497653,[
22051214,[
22888712,[
23145191,[
24007760,[
24165782,[
24269840,[
24718463,[
25666227,[
26038737,[
26188342,[
26958783,[
27656756,[
28000996,[
28139147,[
29038750,[
29661260,[
30157604,[
30904415,[
31365668,[
31472313,[
31787671,[
32062218,[
32893348,[
33174182,[
33278525,[
34026649,[
34154898,[
34339343,[
34936482,[
35257684,[
36060208,[
36544370,[
37880500,[
38372150,[
39250327,[
39442705,[
39719025,[
40425580,[
40719262,[
40820562,[
41207180,[
42018811,[
42149728,[
42477187,[
43099881,[
