rr_ms,beat_sample
380.0,134
376.0,228
380.0,323
380.0,418
376.0,512
388.0,609
380.0,704
396.0,803
388.0,900
392.0,998
384.0,1094
384.0,1190
388.0,1287
388.0,1384
384.0,1480
384.0,1576
380.0,1671
384.0,1767
380.0,1862
380.0,1957
380.0,2052
376.0,2146
376.0,2240
376.0,2334
372.0,2427
376.0,2521
372.0,2614
372.0,2707
372.0,2800
372.0,2893
368.0,2985
372.0,3078
376.0,3172
368.0,3264
372.0,3357
372.0,3450
368.0,3542
368.0,3634
368.0,3726
368.0,3818
368.0,3910
364.0,4001
368.0,4093
364.0,4184
368.0,4276
364.0,4367
368.0,4459
364.0,4550
364.0,4641
364.0,4732
368.0,4824
364.0,4915
364.0,5006
368.0,5098
372.0,5191
372.0,5284
376.0,5378
384.0,5474
384.0,5570
380.0,5665
384.0,5761
388.0,5858
384.0,5954
380.0,6049
380.0,6144
380.0,6239
380.0,6334
376.0,6428
376.0,6522
376.0,6616
372.0,6709
376.0,6803
376.0,6897
372.0,6990
372.0,7083
372.0,7176
372.0,7269
372.0,7362
368.0,7454
372.0,7547
372.0,7640
368.0,7732
372.0,7825
368.0,7917
372.0,8010
368.0,8102
368.0,8194
368.0,8286
368.0,8378
368.0,8470
368.0,8562
368.0,8654
372.0,8747
368.0,8839
368.0,8931
368.0,9023
368.0,9115
364.0,9206
368.0,9298
368.0,9390
360.0,9480
364.0,9571
364.0,9662
364.0,9753
364.0,9844
360.0,9934
364.0,10025
360.0,10115
360.0,10205
360.0,10295
360.0,10385
356.0,10474
360.0,10564
356.0,10653
356.0,10742
352.0,10830
356.0,10919
356.0,11008
356.0,11097
360.0,11187
352.0,11275
356.0,11364
352.0,11452
356.0,11541
356.0,11630
356.0,11719
356.0,11808
352.0,11896
356.0,11985
356.0,12074
356.0,12163
356.0,12252
356.0,12341
360.0,12431
356.0,12520
360.0,12610
356.0,12699
360.0,12789
360.0,12879
360.0,12969
376.0,13063
400.0,13163
420.0,13268
408.0,13370
392.0,13468
384.0,13564
388.0,13661
384.0,13757
380.0,13852
376.0,13946
376.0,14040
372.0,14133
372.0,14226
372.0,14319
368.0,14411
372.0,14504
368.0,14596
372.0,14689
368.0,14781
368.0,14873
368.0,14965
372.0,15058
372.0,15151
364.0,15242
372.0,15335
372.0,15428
372.0,15521
368.0,15613
372.0,15706
372.0,15799
376.0,15893
372.0,15986
376.0,16080
372.0,16173
380.0,16268
380.0,16363
384.0,16459
380.0,16554
380.0,16649
396.0,16748
380.0,16843
396.0,16942
404.0,17043
392.0,17141
392.0,17239
384.0,17335
384.0,17431
384.0,17527
380.0,17622
380.0,17717
376.0,17811
376.0,17905
376.0,17999
372.0,18092
376.0,18186
392.0,18284
