rr_ms,beat_sample
376.0,14315
372.0,14501
374.0,14688
370.0,14873
372.0,15059
370.0,15244
370.0,15429
366.0,15612
366.0,15795
366.0,15978
366.0,16161
360.0,16341
364.0,16523
364.0,16705
364.0,16887
362.0,17068
362.0,17249
362.0,17430
362.0,17611
360.0,17791
364.0,17973
362.0,18154
362.0,18335
362.0,18516
362.0,18697
362.0,18878
364.0,19060
364.0,19242
362.0,19423
364.0,19605
366.0,19788
364.0,19970
366.0,20153
364.0,20335
364.0,20517
368.0,20701
368.0,20885
368.0,21069
372.0,21255
372.0,21441
374.0,21628
380.0,21818
382.0,22009
384.0,22201
380.0,22391
380.0,22581
382.0,22772
382.0,22963
378.0,23152
378.0,23341
380.0,23531
378.0,23720
378.0,23909
380.0,24099
376.0,24287
380.0,24477
380.0,24667
382.0,24858
380.0,25048
382.0,25239
378.0,25428
378.0,25617
376.0,25805
376.0,25993
376.0,26181
376.0,26369
374.0,26556
374.0,26743
368.0,26927
374.0,27114
370.0,27299
368.0,27483
364.0,27665
368.0,27849
366.0,28032
366.0,28215
368.0,28399
360.0,28579
360.0,28759
364.0,28941
362.0,29122
366.0,29305
364.0,29487
364.0,29669
368.0,29853
366.0,30036
364.0,30218
366.0,30401
362.0,30582
366.0,30765
366.0,30948
366.0,31131
364.0,31313
366.0,31496
364.0,31678
364.0,31860
364.0,32042
368.0,32226
370.0,32411
368.0,32595
366.0,32778
366.0,32961
362.0,33142
366.0,33325
364.0,33507
366.0,33690
362.0,33871
362.0,34052
362.0,34233
358.0,34412
362.0,34593
358.0,34772
358.0,34951
356.0,35129
356.0,35307
360.0,35487
360.0,35667
360.0,35847
360.0,36027
360.0,36207
360.0,36387
360.0,36567
360.0,36747
360.0,36927
364.0,37109
362.0,37290
360.0,37470
360.0,37650
358.0,37829
360.0,38009
354.0,38186
356.0,38364
356.0,38542
362.0,38723
358.0,38902
362.0,39083
368.0,39267
362.0,39448
364.0,39630
366.0,39813
366.0,39996
362.0,40177
362.0,40358
358.0,40537
360.0,40717
358.0,40896
362.0,41077
358.0,41256
360.0,41436
358.0,41615
354.0,41792
356.0,41970
358.0,42149
358.0,42328
356.0,42506
358.0,42685
360.0,42865
362.0,43046
360.0,43226
366.0,43409
366.0,43592
374.0,43779
372.0,43965
368.0,44149
372.0,44335
376.0,44523
372.0,44709
374.0,44896
374.0,45083
376.0,45271
380.0,45461
380.0,45651
376.0,45839
378.0,46028
376.0,46216
372.0,46402
374.0,46589
374.0,46776
374.0,46963
368.0,47147
368.0,47331
372.0,47517
368.0,47701
366.0,47884
366.0,48067
368.0,48251
368.0,48435
368.0,48619
366.0,48802
366.0,48985
368.0,49169
366.0,49352
366.0,49535
