sample_idx,symbol
703901,[
2490400,[
2748589,[
3007315,[
5333548,[
6843161,[
7935289,[
10696986,[
13884312,[
15698587,[
15975790,[
17224818,[
17656665,[
19286386,[
20865201,[
22715390,[
24549782,[
25242819,[
26460159,[
29024155,[
30091115,[
31151134,[
32723265,[
37842493,[
39088478,[
39496679,[
41086191,[
41509218,[
42137916,[
43202465,[
44800611,[
46436674,[
46878889,[
47111124,[
50253479,[
50545524,[
51467235,[
53159164,[
54778928,[
56376869,[
58264320,[
59955830,[
65269336,[
65760376,[
66320589,[
67410640,[
71516186,[
72554152,[
75225856,[
77117558,[
80483899,[
80910821,[
82723300,[
83212564,[
86092745,[
86413569,[
