sample_idx,symbol
492843,[
864128,[
984499,[
1208687,[
1924068,[
2061665,[
3277415,[
3671197,[
4092936,[
4279525,[
4474989,[
4960095,[
6131606,[
6380121,[
7580334,[
8839650,[
9948807,[
11393804,[
12506763,[
13091675,[
13870835,[
14742871,[
15166275,[
15326326,[
15483730,[
15973421,[
16224718,[
17529945,[
18150760,[
18243747,[
19242692,[
19470997,[
19937850,[
20253096,[
20736260,[
21234763,[
21333504,[
21676097,[
21979795,[
22498931,[
22737631,[
23086767,[
23304355,[
23903101,[
24344758,[
24437056,[
24768375,[
25644652,[
25811592,[
26068648,[
26316024,[
27050032,[
27513120,[
27796679,[
28875005,[
29505771,[
29862851,[
30226051,[
31105267,[
31306300,[
31430173,[
31692956,[
32108501,[
32792265,[
33124169,[
34681283,[
35165114,[
35667578,[
36541041,[
36957758,[
37056744,[
37365509,[
37940274,[
38815618,[
39722902,[
40109190,[
40207931,[
