rr_ms,beat_sample
508.0,204989
512.0,205245
506.0,205498
512.0,205754
508.0,206008
508.0,206262
502.0,206513
500.0,206763
496.0,207011
494.0,207258
496.0,207506
496.0,207754
504.0,208006
510.0,208261
496.0,208509
506.0,208762
504.0,209014
492.0,209260
496.0,209508
488.0,209752
494.0,209999
488.0,210243
490.0,210488
486.0,210731
490.0,210976
504.0,211228
500.0,211478
494.0,211725
494.0,211972
488.0,212216
488.0,212460
486.0,212703
486.0,212946
482.0,213187
478.0,213426
480.0,213666
480.0,213906
486.0,214149
490.0,214394
488.0,214638
486.0,214881
486.0,215124
482.0,215365
480.0,215605
478.0,215844
480.0,216084
480.0,216324
478.0,216563
480.0,216803
476.0,217041
476.0,217279
476.0,217517
474.0,217754
474.0,217991
476.0,218229
480.0,218469
514.0,218726
580.0,219016
548.0,219290
512.0,219546
514.0,219803
508.0,220057
504.0,220309
500.0,220559
498.0,220808
492.0,221054
486.0,221297
484.0,221539
484.0,221781
488.0,222025
490.0,222270
488.0,222514
484.0,222756
484.0,222998
484.0,223240
484.0,223482
482.0,223723
482.0,223964
494.0,224211
490.0,224456
496.0,224704
516.0,224962
494.0,225209
494.0,225456
490.0,225701
486.0,225944
488.0,226188
488.0,226432
482.0,226673
480.0,226913
478.0,227152
476.0,227390
472.0,227626
470.0,227861
472.0,228097
468.0,228331
466.0,228564
466.0,228797
466.0,229030
468.0,229264
468.0,229498
470.0,229733
468.0,229967
474.0,230204
474.0,230441
476.0,230679
476.0,230917
474.0,231154
476.0,231392
474.0,231629
474.0,231866
474.0,232103
470.0,232338
474.0,232575
470.0,232810
470.0,233045
478.0,233284
472.0,233520
478.0,233759
472.0,233995
474.0,234232
480.0,234472
476.0,234710
474.0,234947
472.0,235183
472.0,235419
472.0,235655
464.0,235887
468.0,236121
466.0,236354
464.0,236586
462.0,236817
460.0,237047
456.0,237275
460.0,237505
466.0,237738
452.0,237964
452.0,238190
452.0,238416
456.0,238644
458.0,238873
456.0,239101
456.0,239329
456.0,239557
456.0,239785
462.0,240016
466.0,240249
468.0,240483
474.0,240720
482.0,240961
484.0,241203
500.0,241453
498.0,241702
498.0,241951
516.0,242209
