sample_idx,symbol
2395191,[
5483134,[
7062014,[
7428300,[
7955700,[
8170314,[
9409094,[
11669109,[
13312055,[
14184743,[
14784953,[
16075696,[
17922190,[
20340766,[
23457440,[
23702148,[
25320286,[
26382101,[
29455526,[
29664445,[
30356547,[
31289178,[
31663562,[
33498052,[
34206832,[
35131140,[
36695721,[
38998076,[
39425586,[
41807415,[
44153655,[
44687834,[
46509761,[
47592297,[
48994118,[
49338117,[
49854676,[
50040336,[
51045534,[
51401071,[
53790714,[
53995766,[
54288624,[
54810995,[
55909686,[
56202764,[
58315474,[
58568430,[
61066269,[
62362018,[
63564998,[
63820696,[
66569232,[
66870041,[
67419278,[
68723691,[
69260381,[
70707879,[
75246771,[
75798561,[
79214473,[
79400865,[
80045172,[
80843167,[
82017546,[
83081994,[
