rr_ms,beat_sample
420.0,409
426.0,622
424.0,834
426.0,1047
422.0,1258
424.0,1470
422.0,1681
418.0,1890
422.0,2101
416.0,2309
420.0,2519
418.0,2728
426.0,2941
428.0,3155
424.0,3367
422.0,3578
426.0,3791
428.0,4005
426.0,4218
430.0,4433
428.0,4647
424.0,4859
428.0,5073
428.0,5287
422.0,5498
424.0,5710
424.0,5922
426.0,6135
426.0,6348
428.0,6562
424.0,6774
424.0,6986
424.0,7198
422.0,7409
424.0,7621
420.0,7831
418.0,8040
416.0,8248
418.0,8457
416.0,8665
412.0,8871
416.0,9079
414.0,9286
414.0,9493
412.0,9699
412.0,9905
418.0,10114
420.0,10324
418.0,10533
424.0,10745
424.0,10957
424.0,11169
430.0,11384
440.0,11604
444.0,11826
458.0,12055
456.0,12283
472.0,12519
470.0,12754
464.0,12986
458.0,13215
450.0,13440
448.0,13664
440.0,13884
444.0,14106
438.0,14325
432.0,14541
432.0,14757
430.0,14972
444.0,15194
448.0,15418
458.0,15647
472.0,15883
476.0,16121
482.0,16362
476.0,16600
480.0,16840
482.0,17081
474.0,17318
470.0,17553
464.0,17785
460.0,18015
458.0,18244
450.0,18469
446.0,18692
442.0,18913
438.0,19132
434.0,19349
430.0,19564
424.0,19776
424.0,19988
424.0,20200
422.0,20411
418.0,20620
418.0,20829
416.0,21037
414.0,21244
410.0,21449
414.0,21656
410.0,21861
410.0,22066
408.0,22270
406.0,22473
402.0,22674
406.0,22877
404.0,23079
402.0,23280
402.0,23481
402.0,23682
400.0,23882
396.0,24080
400.0,24280
398.0,24479
398.0,24678
396.0,24876
396.0,25074
396.0,25272
394.0,25469
394.0,25666
394.0,25863
394.0,26060
394.0,26257
394.0,26454
398.0,26653
394.0,26850
390.0,27045
396.0,27243
396.0,27441
396.0,27639
396.0,27837
394.0,28034
398.0,28233
398.0,28432
398.0,28631
400.0,28831
400.0,29031
402.0,29232
398.0,29431
402.0,29632
400.0,29832
400.0,30032
400.0,30232
404.0,30434
402.0,30635
408.0,30839
418.0,31048
418.0,31257
420.0,31467
424.0,31679
422.0,31890
424.0,32102
422.0,32313
420.0,32523
426.0,32736
420.0,32946
426.0,33159
428.0,33373
430.0,33588
424.0,33800
436.0,34018
436.0,34236
442.0,34457
438.0,34676
432.0,34892
436.0,35110
432.0,35326
430.0,35541
428.0,35755
424.0,35967
428.0,36181
422.0,36392
420.0,36602
422.0,36813
424.0,37025
426.0,37238
426.0,37451
434.0,37668
426.0,37881
428.0,38095
440.0,38315
432.0,38531
428.0,38745
436.0,38963
428.0,39177
432.0,39393
430.0,39608
428.0,39822
436.0,40040
428.0,40254
426.0,40467
438.0,40686
430.0,40901
428.0,41115
438.0,41334
432.0,41550
428.0,41764
444.0,41986
478.0,42225
386.0,42418
436.0,42636
434.0,42853
428.0,43067
432.0,43283
440.0,43503
432.0,43719
430.0,43934
442.0,44155
438.0,44374
440.0,44594
440.0,44814
434.0,45031
438.0,45250
432.0,45466
436.0,45684
436.0,45902
432.0,46118
430.0,46333
