sample_idx,symbol
4809,[
4071923,[
4713650,[
6548265,[
8960529,[
11371681,[
13609833,[
15072551,[
15372987,[
16114829,[
16540934,[
17051678,[
17776576,[
20260756,[
20511944,[
21815162,[
22326840,[
24045352,[
25208802,[
25707794,[
27053590,[
30424869,[
30770664,[
31707151,[
32184695,[
32385055,[
32833526,[
33600184,[
34020634,[
34208140,[
34494259,[
34733634,[
34945474,[
36231367,[
36862309,[
37291344,[
37750492,[
39888346,[
40384675,[
41268026,[
43993667,[
44440278,[
44694467,[
45681390,[
46840826,[
47206282,[
48957842,[
50085046,[
51496340,[
51836602,[
53113368,[
53863860,[
54212430,[
56222065,[
57680948,[
58175394,[
58370709,[
59779858,[
60213602,[
61356945,[
61734480,[
62028334,[
62272081,[
64421432,[
65384315,[
65989796,[
67164924,[
68340986,[
70181464,[
70782646,[
71345738,[
72077398,[
72722290,[
72911896,[
74160490,[
74374297,[
75543599,[
75735000,[
76244886,[
78256260,[
